key,name,ra,dec,ll,bb,sg_xx,sg_yy,sg_zz,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,velocity_gsr,velocity_lg,ref_vlos,distance,distance_em,distance_ep,distance_modulus,distance_modulus_em,distance_modulus_ep,distance_gc,distance_m31,distance_lg,distance_host,distance_measurement_method,ref_distance,M_V,M_V_em,M_V_ep,mass_stellar,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,mass_HI,mass_HI_ul,host,confirmed_real,confirmed_galaxy,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,rhalf,rhalf_em,rhalf_ep,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,surface_brightness_rhalf,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,ref_structure,ref_structure_king,ref_structure_sersic,metallicity,metallicity_em,metallicity_ep,metallicity_type,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,age,age_em,age_ep,ref_age
ngc_3115-dw1006m0732,dw1006m0732,151.611,-7.549,247.8801942,37.1166727,-2939.09,7174.25,-7110.15,,,,,,,,,,,,,,,,,,10519.62,0.0,0.0,30.11,0.24,0.24,10522.06,11051.14,10781.65,839.04,sbf,Carlsten2022ApJ...933...47C,-11.19,0.12,0.12,6.71,,,,,,,ngc_3115,1,1,18.92,0.12,0.12,Carlsten2022ApJ...933...47C,0.1433,0.0133,0.0133,437.76,40.2,40.57,437.76,40.2,40.57,,,,,,,,25.59,,,,,,,,,,,,,,,,,,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_3115-dw1007m0715,dw1007m0715,151.834,-7.263,247.8037967,37.4730502,-2480.87,6147.2,-6018.72,,,,,,,,,,,,,,,,,,8953.65,0.0,0.0,29.76,0.21,0.19,8956.09,9486.9,9215.94,737.76,sbf,Carlsten2022ApJ...933...47C,-13.0,0.1,0.1,7.43,,,,,,,ngc_3115,1,1,16.76,0.1,0.1,Carlsten2022ApJ...933...47C,0.2767,0.0167,0.0167,719.68,42.77,43.16,719.68,42.77,43.16,,,,,,,,24.86,,,,,,,,,,,,,,,,,,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_3115-dw1007m0830,dw1007m0830,151.946,-8.504,249.0367787,36.7081239,-3275.5,7482.13,-7466.62,,,,,,,,,,,,,,,,,,11066.24,0.0,0.0,30.22,0.19,0.18,11068.57,11606.12,11332.73,1395.39,sbf,Carlsten2022ApJ...933...47C,-10.43,0.14,0.14,6.41,,,,,,,ngc_3115,1,1,19.79,0.14,0.14,Carlsten2022ApJ...933...47C,0.1217,0.015,0.015,390.65,47.58,48.01,390.65,47.58,48.01,,,,,,,,26.1,,,,,,,,,,,,,,,,,,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_3115-dw1007m0835,dw1007m0835,151.814,-8.586,248.9994572,36.5569077,-2440.16,5556.33,-5576.12,,,,,,,,,,,,,,,,,,8241.38,0.0,0.0,29.58,0.35,0.33,8243.72,8785.59,8508.97,1449.83,sbf,Carlsten2022ApJ...933...47C,-9.31,0.2,0.2,5.96,,,,,,,ngc_3115,1,1,20.27,0.2,0.2,Carlsten2022ApJ...933...47C,0.1033,0.0183,0.0183,246.81,43.3,43.7,246.81,43.3,43.7,,,,,,,,26.22,,,,,,,,,,,,,,,,,,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_3115-kdg_065,KDG 65,151.396,-7.75,247.8848147,36.8237678,-2716.3,6567.28,-6576.38,,,,,,,,,,,,,,,,,,9682.78,,,29.93,,,9685.23,10215.73,9945.24,15.61,host,,-14.56,0.09,0.09,8.06,,,,,,,ngc_3115,0,0,15.37,0.09,0.09,Carlsten2022ApJ...933...47C,0.3883,0.02,0.02,1092.62,55.5,56.01,1092.62,55.5,56.01,,,,,,,,24.2,,,,,,,,,,,,,,,,,,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_3115-kksg_17,KKSG 17,150.409,-8.249,247.5238866,35.7656189,-2782.83,6617.17,-6895.81,,,,,,,,446.0,3.0,3.0,,,,,262.4,202.21,Makarov2014A&A...570A..13M,9954.05,0.0,0.0,29.99,,,9956.58,10484.21,10215.19,324.25,trgb,Anand2021AJ....162...80A,-15.46,0.09,0.09,8.42,,,,,7.6,,ngc_3115,1,1,14.53,0.09,0.09,Carlsten2022ApJ...933...47C,0.4917,0.025,0.025,1422.13,71.32,71.98,1422.13,71.32,71.98,,,,,,,,23.88,,,,,,,,,,,,,1.72,,,,Makarov2014A&A...570A..13M,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_3115-kksg_18,KKSG 18,151.423,-7.982,248.1203627,36.6862046,-2751.05,6548.96,-6580.2,,,,,,,,715.0,5.0,5.0,,,,,533.03,472.5,Makarov2014A&A...570A..13M,9682.78,,,29.93,,,9685.21,10217.61,9946.2,48.47,host,,-17.31,0.09,0.09,9.16,,,,,,,ngc_3115,1,1,12.62,0.09,0.09,Carlsten2022ApJ...933...47C,0.5017,0.025,0.025,1411.54,69.38,70.02,1411.54,69.38,70.02,,,,,,,,22.01,,,,,,,,,,,,,,,,,,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_3115-mcg-01-26-009,MCG -01-26-009,150.39,-6.525,245.9120466,36.8999295,-2462.33,6586.53,-6656.63,,,,,,,,747.0,6.0,6.0,,,,,568.16,509.33,Makarov2014A&A...570A..13M,9682.78,,,29.93,,,9685.43,10200.39,9937.36,253.77,host,,-14.43,0.09,0.09,8.01,,,,,7.7,,ngc_3115,1,1,15.5,0.09,0.09,Carlsten2022ApJ...933...47C,0.3067,0.0167,0.0167,862.79,46.25,46.68,862.79,46.25,46.68,,,,,,,,23.82,,,,,,,,,,,,,2.27,,,,Makarov2014A&A...570A..13M,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_3344-dw1,NGC 3344-dw1,160.6833333333333,25.025,209.7580015,61.1005726,1545.32,9731.75,-3819.86,,,,,,,,,,,,,,,,,,10568.18,0.0,0.0,30.12,0.4,0.4,10571.59,10834.62,10695.18,751.55,,Carlsten2022ApJ...933...47C,-9.42,0.18,0.18,6.0,,,,,,,ngc_3344,0,0,20.7,0.18,0.18,Carlsten2022ApJ...933...47C,0.1183,0.0183,0.0183,362.61,55.53,56.04,362.61,55.53,56.04,,,,,,,,26.95,,,,,,,,,,,,,,,,,,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_3344-dw1042p2415,dw1042p2415,160.592,24.25,211.2853823,60.858658,1355.4,9238.65,-3706.15,,,,,,,,,,,,,,,,,,10046.16,0.0,0.0,30.01,0.22,0.19,10049.54,10322.36,10177.79,260.63,,Carlsten2022ApJ...933...47C,-13.02,0.1,0.1,7.44,,,,,,,ngc_3344,0,0,16.99,0.1,0.1,Carlsten2022ApJ...933...47C,0.2383,0.015,0.015,695.58,43.19,43.59,695.58,43.19,43.59,,,,,,,,24.76,,,,,,,,,,,,,,,,,,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_3344-dw1045p2427,dw1045p2427,161.379,24.466,211.167991,61.6052999,1296.68,9035.69,-3489.16,,,,,,,,,,,,,,,,,,9772.37,0.0,0.0,29.95,0.3,0.28,9775.68,10050.33,9904.72,119.42,,Carlsten2022ApJ...933...47C,-10.45,0.14,0.14,6.41,,,,,,,ngc_3344,0,0,19.5,0.14,0.14,Carlsten2022ApJ...933...47C,0.1533,0.0183,0.0183,434.8,51.35,51.82,434.8,51.35,51.82,,,,,,,,26.31,,,,,,,,,,,,,,,,,,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_3351,NGC 3351,160.990417,11.703611,233.9516692,56.3678649,-631.91,8840.38,-4531.18,,,,,,,,777.0,1.0,1.0,,,,,669.29,623.06,Haynes2011AJ....142..170H,9954.05,0.0,0.0,29.99,0.03,0.03,9956.7,10368.17,10155.8,1390.64,trgb,Tully2009AJ....138..323T,-20.58,,,10.47,,,,,8.94,,ngc_3379,1,1,9.41,,,Makarov2014A&A...570A..13M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,Haynes2011AJ....142..170H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_3377,NGC 3377,161.926,13.986,231.1772036,58.317717,-363.49,9417.23,-4452.66,,,,,,,,678.0,6.0,6.0,,,,,579.88,535.86,Smith2000MNRAS.313..469S,10423.17,0.0,0.0,30.09,0.02,0.02,10425.85,10817.24,10614.93,939.38,trgb,Tully2009AJ....138..323T,-19.94,,,10.21,,,,,,,ngc_3379,1,1,10.15,,,Makarov2014A&A...570A..13M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_3379-dw1042p1359,dw1042p1359,160.689,13.99,230.0753246,57.2708195,-268.45,9421.1,-4672.6,,,,,,,,,,,,,,,,,,10519.62,0.0,0.0,30.11,0.2,,10522.44,10907.67,10708.36,879.9,sbf,Carlsten2022ApJ...933...47C,-9.65,0.18,0.18,6.09,,,,,,,ngc_3379,1,1,20.46,0.18,0.18,Carlsten2022ApJ...933...47C,0.09,0.015,0.015,274.45,45.23,45.64,274.45,45.23,45.64,,,,,,,,26.11,,,,,,,,,,,,,,,,,,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_3379-dw1043p1410,dw1043p1410,160.795,14.18,229.8577424,57.452202,-278.18,10685.3,-5258.58,,,,,,,,,,,,,,,,,,11912.42,0.0,0.0,30.38,0.15,0.15,11915.24,12296.55,12099.78,709.7,sbf,Carlsten2022ApJ...933...47C,-10.55,0.14,0.14,6.45,,,,,,,ngc_3379,1,1,19.83,0.14,0.14,Carlsten2022ApJ...933...47C,0.0933,0.01,0.01,322.7,34.14,34.46,322.7,34.14,34.46,,,,,,,,25.56,,,,,,,,,,,,,,,,,,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_3379-dw1043p1415,dw1043p1415,160.957,14.255,229.8749006,57.6259867,-286.58,11001.02,-5372.51,,,,,,,,,,,,,,,,,,12246.16,0.0,0.0,30.44,0.17,0.16,12248.97,12629.77,12433.38,1004.28,sbf,Carlsten2022ApJ...933...47C,-10.73,0.14,0.14,6.53,,,,,,,ngc_3379,1,1,19.71,0.14,0.14,Carlsten2022ApJ...933...47C,0.1133,0.0133,0.0133,402.74,46.8,47.23,402.74,46.8,47.23,,,,,,,,25.87,,,,,,,,,,,,,,,,,,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_3379-dw1044p1351,dw1044p1351,161.159,13.859,230.6990325,57.6063639,-357.19,10311.92,-5036.12,,,,,,,,,,,,,,,,,,11481.54,0.0,0.0,30.3,0.2,0.18,11484.29,11871.45,11671.65,336.62,sbf,Carlsten2022ApJ...933...47C,-10.97,0.13,0.13,6.62,,,,,,,ngc_3379,1,1,19.33,0.13,0.13,Carlsten2022ApJ...933...47C,0.105,0.01,0.01,349.99,32.91,33.21,349.99,32.91,33.21,,,,,,,,25.32,,,,,,,,,,,,,,,,,,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngc_3379-dw1044p1351b,dw1044p1351b,161.16,13.856,230.7048048,57.6057479,-332.4,9579.37,-4678.45,,,,,,,,,,,,,,,,,,10665.96,0.0,0.0,30.14,0.17,0.15,10668.72,11057.35,10856.47,717.56,sbf,Carlsten2022ApJ...933...47C,-10.66,0.13,0.13,6.5,,,,,,,ngc_3379,1,1,19.48,0.13,0.13,Carlsten2022ApJ...933...47C,0.1233,0.0133,0.0133,381.8,40.76,41.13,381.8,40.76,41.13,,,,,,,,25.82,,,,,,,,,,,,,,,,,,Carlsten2022ApJ...933...47C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
