key,name,ra,dec,ll,bb,sg_xx,sg_yy,sg_zz,pmra,pmra_em,pmra_ep,pmdec,pmdec_em,pmdec_ep,ref_proper_motion,vlos_systemic,vlos_systemic_em,vlos_systemic_ep,vlos_sigma,vlos_sigma_em,vlos_sigma_ep,vlos_sigma_ul,velocity_gsr,velocity_lg,ref_vlos,distance,distance_em,distance_ep,distance_modulus,distance_modulus_em,distance_modulus_ep,distance_gc,distance_m31,distance_lg,distance_host,distance_measurement_method,ref_distance,M_V,M_V_em,M_V_ep,mass_stellar,mass_dynamical_wolf,mass_dynamical_wolf_em,mass_dynamical_wolf_ep,mass_dynamical_wolf_ul,mass_HI,mass_HI_ul,host,confirmed_real,confirmed_galaxy,apparent_magnitude_v,apparent_magnitude_v_em,apparent_magnitude_v_ep,ref_m_v,rhalf,rhalf_em,rhalf_ep,rhalf_physical,rhalf_physical_em,rhalf_physical_ep,rhalf_sph_physical,rhalf_sph_physical_em,rhalf_sph_physical_ep,position_angle,position_angle_em,position_angle_ep,ellipticity,ellipticity_em,ellipticity_ep,ellipticity_ul,surface_brightness_rhalf,rcore,rcore_em,rcore_ep,rking,rking_em,rking_ep,rad_sersic,rad_sersic_em,rad_sersic_ep,n_sersic,n_sersic_em,n_sersic_ep,flux_HI,flux_HI_em,flux_HI_ep,flux_HI_ul,ref_flux_HI,ref_structure,ref_structure_king,ref_structure_sersic,metallicity,metallicity_em,metallicity_ep,metallicity_type,metallicity_spectroscopic,metallicity_spectroscopic_em,metallicity_spectroscopic_ep,metallicity_spectroscopic_sigma,metallicity_spectroscopic_sigma_em,metallicity_spectroscopic_sigma_ep,metallicity_spectroscopic_sigma_ul,ref_metallicity_spectroscopic,metallicity_isochrone,metallicity_isochrone_em,metallicity_isochrone_ep,ref_metallicity_isochrone,metallicity_photometric,metallicity_photometric_em,metallicity_photometric_ep,metallicity_photometric_sigma,metallicity_photometric_sigma_em,metallicity_photometric_sigma_ep,metallicity_photometric_sigma_ul,ref_metallicity_photometric,age,age_em,age_ep,ref_age
hydra_2,Hydra II,185.4286,-31.9728,295.6184145,30.4764987,-121.16,81.62,-39.6,-0.394,0.14,0.14,0.0,0.104,0.103,Pace2022ApJ...940..136P,304.4,1.1,1.1,,,,4.11,122.29,42.44,Geha2026ApJ...999..140G,151.36,7.48,7.86,20.9,0.11,0.11,148.52,925.6,537.73,148.52,,Vivas2016AJ....151..118V,-5.1,0.22,0.11,4.27,,,,5.96,,3.51,mw,1,1,15.8,0.22,0.11,Richstein2024ApJ...967...72R,1.52,0.28,0.28,66.38,12.44,12.98,56.73,12.11,12.3,16.0,25.0,25.0,0.24,0.16,0.16,,27.24,,,,,,,1.5,0.32,0.32,1.2,0.46,0.46,,,,0.6,Putman2021ApJ...913...53P,Munoz2018ApJ...860...66M,,Munoz2018ApJ...860...66M,-2.41,0.17,0.17,spectroscopic,-2.41,0.17,0.17,,,,,Geha2026arXiv260210202G,,,,,-3.05,0.13,0.12,0.47,0.12,0.13,,Fu2023ApJ...958..167F,,,,
hydrus_1,Hydrus I,37.389,-79.3089,297.4162738,-36.7462917,-20.74,-15.55,-9.3,3.781,0.016,0.016,-1.496,0.015,0.015,Pace2022ApJ...940..136P,80.4,0.6,0.6,2.7,0.43,0.51,,-94.19,-136.41,Koposov2018MNRAS.479.5343K,27.54,0.5,0.51,17.2,0.04,0.04,25.68,791.01,403.2,23.95,,Koposov2018MNRAS.479.5343K,-4.71,0.08,0.08,4.12,5.55,0.17,0.15,,,2.08,lmc,1,1,12.49,0.08,0.08,Koposov2018MNRAS.479.5343K,7.42,0.54,0.62,59.28,4.69,4.79,52.42,5.55,5.34,97.0,14.0,14.0,0.21,0.07,0.15,,27.46,,,,,,,,,,,,,,,,0.68,Putman2021ApJ...913...53P,Koposov2018MNRAS.479.5343K,,,-2.52,0.09,0.09,spectroscopic,-2.52,0.09,0.09,0.41,0.08,0.08,,Koposov2018MNRAS.479.5343K,,,,,,,,,,,,,,,,
leo_1,Leo I,152.1146,12.3059,225.9846998,49.1099891,4.09,212.63,-146.47,-0.111,0.004,0.004,-0.063,0.005,0.005,Bennet2024ApJ...971...98B,285.9,0.4,0.4,9.29,0.26,0.26,,170.29,128.54,Geha2026ApJ...999..140G,258.23,9.34,9.69,22.06,0.08,0.08,262.02,918.19,551.56,262.02,,Stetson2014PASP..126..616S,-11.82,0.28,0.28,6.96,7.26,0.04,0.04,,,3.56,mw,1,1,10.24,0.28,0.28,Munoz2018ApJ...860...66M,3.65,0.03,0.03,274.02,10.18,10.35,229.1,18.94,18.36,78.0,1.0,1.0,0.3,0.1,0.1,,23.55,3.6,0.1,0.1,13.5,0.3,0.3,3.3,0.03,0.03,0.77,0.02,0.02,,,,0.23,Spekkens2014ApJ...795L...5S,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,-1.58,0.01,0.01,spectroscopic,-1.58,0.01,0.01,0.27,0.01,0.01,,Geha2026arXiv260210202G,,,,,,,,,,,,,,,,
leo_2,Leo II,168.3627,22.1529,220.1608308,67.2251707,10.15,200.3,-58.55,-0.13,0.009,0.009,-0.143,0.009,0.009,Bennet2024ApJ...971...98B,78.8,0.5,0.5,7.53,0.36,0.39,,20.84,-15.24,Geha2026ApJ...999..140G,208.93,5.69,5.85,21.6,0.06,0.06,211.47,880.02,508.31,211.47,rrl,Monelli2025A&A...700A.201M,-9.48,0.04,0.04,6.03,6.89,0.05,0.04,,,3.19,mw,1,1,12.12,0.04,0.04,Munoz2018ApJ...860...66M,2.52,0.03,0.03,153.0,4.48,4.68,147.66,4.53,4.59,38.0,8.0,8.0,0.07,0.01,0.01,,24.94,2.25,0.1,0.1,9.82,0.41,0.41,2.48,0.03,0.03,0.71,0.02,0.02,,,,0.15,Spekkens2014ApJ...795L...5S,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,-1.97,0.02,0.02,spectroscopic,-1.97,0.02,0.02,0.32,0.02,0.02,,Geha2026arXiv260210202G,,,,,,,,,,,,,,,,
leo_4,Leo IV,173.2405,-0.5453,265.4576584,56.5059706,-51.52,132.69,-51.45,-0.1921,0.0514,0.0514,-0.0686,0.0523,0.0523,Julio2024A&A...687A.212J,129.8,0.9,0.9,3.29,0.66,0.89,,0.62,-61.04,Geha2026ApJ...999..140G,151.36,4.12,4.24,20.9,0.06,0.06,151.93,891.87,508.44,151.93,,Medina2018ApJ...855...43M,-4.95,0.26,0.26,4.21,6.0,0.24,0.19,,,3.37,mw,1,1,15.95,0.26,0.26,Munoz2018ApJ...860...66M,2.54,0.27,0.27,111.37,12.03,12.4,101.11,12.22,12.08,-28.0,38.0,38.0,0.17,0.09,0.09,,28.64,2.14,0.82,0.82,11.9,3.1,3.1,2.61,0.31,0.31,0.86,0.26,0.26,,,,0.43,Putman2021ApJ...913...53P,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,-2.56,0.08,0.08,spectroscopic,-2.56,0.08,0.08,0.28,0.06,0.07,,Geha2026arXiv260210202G,,,,,,,,,,,,,,,,
leo_5,Leo V,172.7857,2.2194,261.8564385,58.5344323,-49.96,151.32,-56.42,0.1186,0.1943,0.1943,-0.1183,0.1704,0.1704,Julio2024A&A...687A.212J,170.8,1.5,1.5,3.37,1.04,1.72,,49.58,-9.45,Geha2026ApJ...999..140G,169.04,4.61,4.74,21.14,0.06,0.06,169.84,901.12,519.26,169.84,,Medina2018ApJ...855...43M,-4.4,0.36,0.36,3.99,5.53,0.5,0.36,,,2.56,mw,1,1,16.74,0.36,0.36,Munoz2018ApJ...860...66M,1.0,0.32,0.32,48.66,15.39,15.89,35.23,13.08,14.27,-71.0,26.0,26.0,0.43,0.22,0.22,,26.91,0.44,0.19,0.19,9.27,5.85,5.85,1.0,0.22,0.22,1.7,0.36,0.36,,,,0.054,Spekkens2014ApJ...795L...5S,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,Munoz2018ApJ...860...66M,-2.29,0.17,0.14,spectroscopic,-2.29,0.17,0.14,0.3,0.09,0.14,,Jenkins2021ApJ...920...92J,,,,,,,,,,,,,,,,
leo_6,Leo VI,171.077,24.874,214.5987324,70.3177988,8.28,108.06,-24.77,-0.06,0.2,0.18,-0.22,0.17,0.22,Tan2025ApJ...979..176T,170.03,1.41,1.75,2.85,1.31,1.57,,126.81,93.65,Tan2025ApJ...979..176T,111.17,5.98,3.64,20.23,0.12,0.07,113.69,823.35,440.99,113.69,,Tan2025ApJ...979..176T,-3.56,0.37,0.47,3.66,5.76,0.63,0.43,,,,mw,1,1,16.67,0.37,0.47,Tan2025ApJ...979..176T,4.17,1.33,1.14,133.45,39.52,40.28,86.86,34.22,37.19,63.0,20.0,13.0,0.54,0.29,0.19,,29.7,,,,,,,,,,,,,,,,,,Tan2025ApJ...979..176T,,,-2.39,0.13,0.1,spectroscopic,-2.39,0.13,0.1,0.19,0.11,0.14,,Tan2025ApJ...979..176T,,,,,,,,,,,,,,,,Tan2025ApJ...979..176T
leo_minor_1,Leo Minor I,164.261,28.875,202.2323784,64.7496332,14.8,76.88,-23.21,-0.01,0.4,0.39,-1.29,0.4,0.37,Cerny2023ApJ...953....1C,,,,,,,,,,,81.66,6.84,4.24,19.56,0.19,0.11,85.19,802.23,417.69,85.19,,Cerny2023ApJ...953....1C,-2.4,0.4,0.5,3.19,,,,,,,mw,1,0,17.16,0.4,0.5,Cerny2023ApJ...953....1C,1.09,0.35,0.37,25.53,8.42,8.83,25.53,8.42,8.83,,,,,,,0.4,28.21,,,,,,,,,,,,,,,,,,Cerny2023ApJ...953....1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lmc,LMC,78.76,-69.19,279.9795464,-33.7343376,-32.77,-24.62,-27.92,1.91,0.02,0.02,0.229,0.047,0.047,Kallivayalil2013ApJ...764..161K,262.2,3.4,3.4,20.2,0.5,0.5,,58.58,14.23,vanderMarel2002AJ....124.2639V,49.59,0.55,0.55,18.477,0.024,0.024,49.08,803.0,415.9,49.08,,Pietrzynski2019Natur.567..200P,-18.08,0.1,0.1,9.46,8.98,0.02,0.02,,8.64,,mw,1,1,0.4,0.1,0.1,deVaucouleurs1991rc3..book.....D,192.9,0.2,0.2,2782.6,30.67,30.71,2544.26,28.45,28.85,227.24,0.178,0.188,0.164,0.001,0.001,,22.52,,,,,,,,,,,,,750658.0,6527.0,6527.0,,Bruns2005A&A...432...45B,Choi2018ApJ...869..125C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pegasus_3,Pegasus III,336.1074167,5.4150472,69.8598973,-41.8262343,61.22,-158.64,131.21,-0.03,0.21,0.21,-0.58,0.208,0.213,Pace2022ApJ...940..136P,-260.0,1.1,1.1,2.76,0.91,1.24,,-90.06,-29.3,Geha2026ApJ...999..140G,214.78,11.55,12.2,21.66,0.12,0.12,212.84,649.99,289.24,212.84,,Kim2016ApJ...833...16K,-4.17,0.22,0.19,3.9,5.75,0.43,0.3,,,3.53,mw,1,1,17.49,0.22,0.19,Richstein2022ApJ...933..217R,1.67,0.21,0.26,103.57,15.25,16.05,82.12,13.39,13.64,83.0,7.0,8.0,0.37,0.09,0.08,,28.97,,,,,,,,,,,,,,,,0.31,Putman2021ApJ...913...53P,Richstein2022ApJ...933..217R,,,-2.63,0.1,0.1,spectroscopic,-2.63,0.1,0.1,0.28,0.08,0.11,,Geha2026arXiv260210202G,,,,,,,,,,,,,,,,
